dataset,source,source_label,variant,row_type,metric,metric_label,mean,std,seeds,delta_vs_bm25,source_only_mean,source_only_delta_vs_bm25,delta_vs_whg_kv_controller,source_path_before_reorg,delta_vs_dense,delta_vs_colbertv2,source_only_delta_vs_dense,source_only_delta_vs_colbertv2
musique,bm25_only,BM25 only,bm25,dense_baseline,f1,F1,46.04518976498095,0.0,3,0.0,,,,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
musique,bm25_only,BM25 only,bm25,dense_baseline,em,EM,45.34546959040132,0.0,3,0.0,,,,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
musique,bm25_only,BM25 only,bm25,dense_baseline,all_recall@10,AR@10,41.745966073645015,0.0,3,0.0,,,,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
musique,bm25_only,BM25 only,bm25,dense_baseline,all_recall@5,AR@5,18.700868845676457,0.0,3,0.0,,,,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
2wiki,bm25_only,BM25 only,bm25,dense_baseline,f1,F1,71.873124617217,0.0,3,0.0,,,,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
2wiki,bm25_only,BM25 only,bm25,dense_baseline,em,EM,71.31043256997455,0.0,3,0.0,,,,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
2wiki,bm25_only,BM25 only,bm25,dense_baseline,all_recall@10,AR@10,99.25254452926208,0.0,3,0.0,,,,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
2wiki,bm25_only,BM25 only,bm25,dense_baseline,all_recall@5,AR@5,56.639631043257,0.0,3,0.0,,,,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
musique,hyper_rag,BM25 + Hyper-RAG / co-occurrence-HG,controller_dense_hkvm,dense_plus_source_controller,f1,F1,45.210430747909726,0.16255803232181212,3,-0.8347590170712209,35.631962302834644,-10.413227462146303,-12.872971990404494,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
musique,hyper_rag,Hyper-RAG / co-occurrence-HG only,phase1c_mlp_topk_4,source_only_baseline,f1,F1,35.631962302834644,0.0,3,-10.413227462146303,,,,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
musique,hyper_rag,BM25 + Hyper-RAG / co-occurrence-HG,controller_dense_hkvm,dense_plus_source_controller,em,EM,44.53178871879741,0.17002934775807396,3,-0.8136808716039141,34.712453454695904,-10.633016135705418,-12.991311543235412,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
musique,hyper_rag,Hyper-RAG / co-occurrence-HG only,phase1c_mlp_topk_4,source_only_baseline,em,EM,34.712453454695904,0.0,3,-10.633016135705418,,,,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
musique,hyper_rag,BM25 + Hyper-RAG / co-occurrence-HG,controller_dense_hkvm,dense_plus_source_controller,all_recall@10,AR@10,40.71162598262308,0.7900805730190322,3,-1.0343400910219316,31.73355399255275,-10.012412081092265,-17.80444076679079,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
musique,hyper_rag,Hyper-RAG / co-occurrence-HG only,phase1c_mlp_topk_4,source_only_baseline,all_recall@10,AR@10,31.73355399255275,0.0,3,-10.012412081092265,,,,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
musique,hyper_rag,BM25 + Hyper-RAG / co-occurrence-HG,controller_dense_hkvm,dense_plus_source_controller,all_recall@5,AR@5,20.0110329609709,0.925347466402772,3,1.3101641152944445,12.78444352503103,-5.916425320645427,-16.645979864846225,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
musique,hyper_rag,Hyper-RAG / co-occurrence-HG only,phase1c_mlp_topk_4,source_only_baseline,all_recall@5,AR@5,12.78444352503103,0.0,3,-5.916425320645427,,,,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
musique,static_hg,BM25 + Static-HG,controller_dense_hkvm,dense_plus_source_controller,f1,F1,45.87171905274074,0.5168266448450768,3,-0.17347071224020993,37.7136378912882,-8.331551873692746,-12.211683685573483,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
musique,static_hg,Static-HG only,phase1c_mlp_topk_4,source_only_baseline,f1,F1,37.7136378912882,0.0,3,-8.331551873692746,,,,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
musique,static_hg,BM25 + Static-HG,controller_dense_hkvm,dense_plus_source_controller,em,EM,45.15239277341056,0.5615576629844811,3,-0.19307681699076085,36.905254447662394,-8.440215142738928,-12.370707488622259,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
musique,static_hg,Static-HG only,phase1c_mlp_topk_4,source_only_baseline,em,EM,36.905254447662394,0.0,3,-8.440215142738928,,,,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
musique,static_hg,BM25 + Static-HG,controller_dense_hkvm,dense_plus_source_controller,all_recall@10,AR@10,41.263274031168116,1.899083961441609,3,-0.48269204247689856,36.73976003309888,-5.006206040546132,-17.252792718245757,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
musique,static_hg,Static-HG only,phase1c_mlp_topk_4,source_only_baseline,all_recall@10,AR@10,36.73976003309888,0.0,3,-5.006206040546132,,,,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
musique,static_hg,BM25 + Static-HG,controller_dense_hkvm,dense_plus_source_controller,all_recall@5,AR@5,20.13515377189353,1.3530848254211594,3,1.4342849262170745,16.756309474555234,-1.9445593711212226,-16.521859053923595,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
musique,static_hg,Static-HG only,phase1c_mlp_topk_4,source_only_baseline,all_recall@5,AR@5,16.756309474555234,0.0,3,-1.9445593711212226,,,,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
musique,weighted_kg_ppr,BM25 + Weighted-KG-PPR,controller_dense_hkvm,dense_plus_source_controller,f1,F1,45.35362843325597,0.2691291072813132,3,-0.6915613317249765,36.378254086934604,-9.666935678046343,-12.72977430505825,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
musique,weighted_kg_ppr,Weighted-KG-PPR only,phase1c_mlp_topk_4,source_only_baseline,f1,F1,36.378254086934604,0.0,3,-9.666935678046343,,,,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
musique,weighted_kg_ppr,BM25 + Weighted-KG-PPR,controller_dense_hkvm,dense_plus_source_controller,em,EM,44.68349193214729,0.25504402163710976,3,-0.6619776582540311,35.581299131154324,-9.764170459246998,-12.839608329885529,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
musique,weighted_kg_ppr,Weighted-KG-PPR only,phase1c_mlp_topk_4,source_only_baseline,em,EM,35.581299131154324,0.0,3,-9.764170459246998,,,,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
musique,weighted_kg_ppr,BM25 + Weighted-KG-PPR,controller_dense_hkvm,dense_plus_source_controller,all_recall@10,AR@10,41.63563646393601,0.15602963038180542,3,-0.11032960970900518,32.726520479933804,-9.019445593711211,-16.880430285477864,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
musique,weighted_kg_ppr,Weighted-KG-PPR only,phase1c_mlp_topk_4,source_only_baseline,all_recall@10,AR@10,32.726520479933804,0.0,3,-9.019445593711211,,,,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
musique,weighted_kg_ppr,BM25 + Weighted-KG-PPR,controller_dense_hkvm,dense_plus_source_controller,all_recall@5,AR@5,20.314439387670667,0.5938229248823891,3,1.6135705419942106,14.067025237898221,-4.6338436077782355,-16.34257343814646,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
musique,weighted_kg_ppr,Weighted-KG-PPR only,phase1c_mlp_topk_4,source_only_baseline,all_recall@5,AR@5,14.067025237898221,0.0,3,-4.6338436077782355,,,,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
musique,weighted_hg_kv,BM25 + WHG-KV,controller_dense_hkvm,dense_plus_source_controller,f1,F1,58.08340273831422,0.3394266725246248,3,12.038212973333273,56.75365088248034,10.708461117499397,0.0,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
musique,weighted_hg_kv,WHG-KV only,phase1c_mlp_topk_4,source_only_baseline,f1,F1,56.75365088248034,0.24927685895406687,3,10.708461117499397,,,,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
musique,weighted_hg_kv,BM25 + WHG-KV,controller_dense_hkvm,dense_plus_source_controller,em,EM,57.52310026203282,0.313882407302196,3,12.177630671631498,56.21293614673838,10.867466556337057,0.0,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
musique,weighted_hg_kv,WHG-KV only,phase1c_mlp_topk_4,source_only_baseline,em,EM,56.21293614673838,0.25354814937043346,3,10.867466556337057,,,,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
musique,weighted_hg_kv,BM25 + WHG-KV,controller_dense_hkvm,dense_plus_source_controller,all_recall@10,AR@10,58.51606674941387,0.5126914989778266,3,16.77010067576886,53.30299269066336,11.557026617018344,0.0,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
musique,weighted_hg_kv,WHG-KV only,phase1c_mlp_topk_4,source_only_baseline,all_recall@10,AR@10,53.30299269066336,0.29125240769470173,3,11.557026617018344,,,,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
musique,weighted_hg_kv,BM25 + WHG-KV,controller_dense_hkvm,dense_plus_source_controller,all_recall@5,AR@5,36.65701282581713,0.9108459371649911,3,17.95614398014067,35.59509033236795,16.894221486691496,0.0,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
musique,weighted_hg_kv,WHG-KV only,phase1c_mlp_topk_4,source_only_baseline,all_recall@5,AR@5,35.59509033236795,0.019503703797726098,3,16.894221486691496,,,,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
2wiki,hyper_rag,BM25 + Hyper-RAG / co-occurrence-HG,controller_dense_hkvm,dense_plus_source_controller,f1,F1,72.90176465413992,0.31271834776055557,3,1.0286400369229227,70.66540003324354,-1.2077245839734587,-15.423349325675815,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
2wiki,hyper_rag,Hyper-RAG / co-occurrence-HG only,phase1c_mlp_topk_4,source_only_baseline,f1,F1,70.66540003324354,0.0,3,-1.2077245839734587,,,,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
2wiki,hyper_rag,BM25 + Hyper-RAG / co-occurrence-HG,controller_dense_hkvm,dense_plus_source_controller,em,EM,72.33354537743851,0.3167602893114379,3,1.02311280746396,70.06997455470739,-1.2404580152671656,-15.778731976251052,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
2wiki,hyper_rag,Hyper-RAG / co-occurrence-HG only,phase1c_mlp_topk_4,source_only_baseline,em,EM,70.06997455470739,0.0,3,-1.2404580152671656,,,,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
2wiki,hyper_rag,BM25 + Hyper-RAG / co-occurrence-HG,controller_dense_hkvm,dense_plus_source_controller,all_recall@10,AR@10,99.99204834605598,0.0,3,0.7395038167938992,99.6501272264631,0.3975826972010168,0.09807039864291767,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
2wiki,hyper_rag,Hyper-RAG / co-occurrence-HG only,phase1c_mlp_topk_4,source_only_baseline,all_recall@10,AR@10,99.6501272264631,0.0,3,0.3975826972010168,,,,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
2wiki,hyper_rag,BM25 + Hyper-RAG / co-occurrence-HG,controller_dense_hkvm,dense_plus_source_controller,all_recall@5,AR@5,59.51017811704835,0.3302250815755722,3,2.87054707379135,56.774809160305345,0.1351781170483477,-32.99141221374045,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
2wiki,hyper_rag,Hyper-RAG / co-occurrence-HG only,phase1c_mlp_topk_4,source_only_baseline,all_recall@5,AR@5,56.774809160305345,0.0,3,0.1351781170483477,,,,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
2wiki,static_hg,BM25 + Static-HG,controller_dense_hkvm,dense_plus_source_controller,f1,F1,78.53917705746267,0.08337149564407156,3,6.6660524402456645,78.09801350168857,6.224888884471568,-9.785936922353073,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
2wiki,static_hg,Static-HG only,phase1c_mlp_topk_4,source_only_baseline,f1,F1,78.09801350168857,0.0,3,6.224888884471568,,,,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
2wiki,static_hg,BM25 + Static-HG,controller_dense_hkvm,dense_plus_source_controller,em,EM,78.0348812553011,0.09853493583248815,3,6.72444868532655,77.52862595419847,6.218193384223923,-10.077396098388462,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
2wiki,static_hg,Static-HG only,phase1c_mlp_topk_4,source_only_baseline,em,EM,77.52862595419847,0.0,3,6.218193384223923,,,,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
2wiki,static_hg,BM25 + Static-HG,controller_dense_hkvm,dense_plus_source_controller,all_recall@10,AR@10,99.99204834605598,0.0,3,0.7395038167938992,99.6501272264631,0.3975826972010168,0.09807039864291767,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
2wiki,static_hg,Static-HG only,phase1c_mlp_topk_4,source_only_baseline,all_recall@10,AR@10,99.6501272264631,0.0,3,0.3975826972010168,,,,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
2wiki,static_hg,BM25 + Static-HG,controller_dense_hkvm,dense_plus_source_controller,all_recall@5,AR@5,70.78562340966921,0.30611285869783683,3,14.145992366412216,70.18924936386769,13.54961832061069,-21.715966921119588,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
2wiki,static_hg,Static-HG only,phase1c_mlp_topk_4,source_only_baseline,all_recall@5,AR@5,70.18924936386769,0.0,3,13.54961832061069,,,,results/source_level_diagnostics/phase1d_bm25_source_level_ablation_20260528/paper_export/phase1d_bm25_source_level_ablation_table.csv,,,,
