dataset,source,source_label,variant,row_type,metric,metric_label,mean,std,seeds,delta_vs_colbertv2,source_only_mean,source_only_delta_vs_colbertv2,delta_vs_whg_kv_controller,source_path_before_reorg,delta_vs_dense,source_only_delta_vs_dense
musique,colbertv2_only,ColBERTv2 only,colbertv2,dense_baseline,f1,F1,58.309321991876935,0.0,3,0.0,,,,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
musique,colbertv2_only,ColBERTv2 only,colbertv2,dense_baseline,em,EM,57.75755068266446,0.0,3,0.0,,,,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
musique,colbertv2_only,ColBERTv2 only,colbertv2,dense_baseline,all_recall@10,AR@10,49.31733553992553,0.0,3,0.0,,,,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
musique,colbertv2_only,ColBERTv2 only,colbertv2,dense_baseline,all_recall@5,AR@5,27.678940835746793,0.0,3,0.0,,,,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
2wiki,colbertv2_only,ColBERTv2 only,colbertv2,dense_baseline,f1,F1,77.76259809482275,0.0,3,0.0,,,,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
2wiki,colbertv2_only,ColBERTv2 only,colbertv2,dense_baseline,em,EM,77.19465648854961,0.0,3,0.0,,,,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
2wiki,colbertv2_only,ColBERTv2 only,colbertv2,dense_baseline,all_recall@10,AR@10,100.0,0.0,3,0.0,,,,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
2wiki,colbertv2_only,ColBERTv2 only,colbertv2,dense_baseline,all_recall@5,AR@5,64.11418575063614,0.0,3,0.0,,,,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
musique,hyper_rag,ColBERTv2 + Hyper-RAG / co-occurrence-HG,controller_dense_hkvm,dense_plus_source_controller,f1,F1,56.398636113965225,1.043305213107027,3,-1.9106858779117104,35.631962302834644,-22.67735968904229,-8.674053542906904,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
musique,hyper_rag,Hyper-RAG / co-occurrence-HG only,phase1c_mlp_topk_4,source_only_baseline,f1,F1,35.631962302834644,0.0,3,-22.67735968904229,,,,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
musique,hyper_rag,ColBERTv2 + Hyper-RAG / co-occurrence-HG,controller_dense_hkvm,dense_plus_source_controller,em,EM,55.840573713970485,1.0737670202632323,3,-1.916976968693973,34.712453454695904,-23.045097227968554,-8.881533581574956,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
musique,hyper_rag,Hyper-RAG / co-occurrence-HG only,phase1c_mlp_topk_4,source_only_baseline,em,EM,34.712453454695904,0.0,3,-23.045097227968554,,,,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
musique,hyper_rag,ColBERTv2 + Hyper-RAG / co-occurrence-HG,controller_dense_hkvm,dense_plus_source_controller,all_recall@10,AR@10,49.234588332643774,0.7362486727369549,3,-0.08274720728175566,31.73355399255275,-17.58378154737278,-14.880706109502135,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
musique,hyper_rag,Hyper-RAG / co-occurrence-HG only,phase1c_mlp_topk_4,source_only_baseline,all_recall@10,AR@10,31.73355399255275,0.0,3,-17.58378154737278,,,,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
musique,hyper_rag,ColBERTv2 + Hyper-RAG / co-occurrence-HG,controller_dense_hkvm,dense_plus_source_controller,all_recall@5,AR@5,27.66514963453317,0.31928939188498817,3,-0.01379120121362476,12.78444352503103,-14.894497310715764,-16.080540615087575,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
musique,hyper_rag,Hyper-RAG / co-occurrence-HG only,phase1c_mlp_topk_4,source_only_baseline,all_recall@5,AR@5,12.78444352503103,0.0,3,-14.894497310715764,,,,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
musique,static_hg,ColBERTv2 + Static-HG,controller_dense_hkvm,dense_plus_source_controller,f1,F1,55.25845084868117,0.7576879585743211,3,-3.0508711431957636,37.7136378912882,-20.595684100588734,-9.814238808190957,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
musique,static_hg,Static-HG only,phase1c_mlp_topk_4,source_only_baseline,f1,F1,37.7136378912882,0.0,3,-20.595684100588734,,,,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
musique,static_hg,ColBERTv2 + Static-HG,controller_dense_hkvm,dense_plus_source_controller,em,EM,54.68211281202593,0.775011519416749,3,-3.075437870638531,36.905254447662394,-20.852296235002065,-10.039994483519514,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
musique,static_hg,Static-HG only,phase1c_mlp_topk_4,source_only_baseline,em,EM,36.905254447662394,0.0,3,-20.852296235002065,,,,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
musique,static_hg,ColBERTv2 + Static-HG,controller_dense_hkvm,dense_plus_source_controller,all_recall@10,AR@10,49.648324369052546,1.5905984929036894,3,0.33098882912701555,36.73976003309888,-12.577575506826648,-14.466970073093364,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
musique,static_hg,Static-HG only,phase1c_mlp_topk_4,source_only_baseline,all_recall@10,AR@10,36.73976003309888,0.0,3,-12.577575506826648,,,,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
musique,static_hg,ColBERTv2 + Static-HG,controller_dense_hkvm,dense_plus_source_controller,all_recall@5,AR@5,28.161632878223692,0.5160194989344837,3,0.48269204247689856,16.756309474555234,-10.92263136119156,-15.584057371397051,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
musique,static_hg,Static-HG only,phase1c_mlp_topk_4,source_only_baseline,all_recall@5,AR@5,16.756309474555234,0.0,3,-10.92263136119156,,,,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
musique,weighted_kg_ppr,ColBERTv2 + Weighted-KG-PPR,controller_dense_hkvm,dense_plus_source_controller,f1,F1,56.853252625799,1.4148775238765905,3,-1.4560693660779336,36.378254086934604,-21.93106790494233,-8.219437031073127,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
musique,weighted_kg_ppr,Weighted-KG-PPR only,phase1c_mlp_topk_4,source_only_baseline,f1,F1,36.378254086934604,0.0,3,-21.93106790494233,,,,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
musique,weighted_kg_ppr,ColBERTv2 + Weighted-KG-PPR,controller_dense_hkvm,dense_plus_source_controller,em,EM,56.295683354020134,1.422968629421611,3,-1.461867328644324,35.581299131154324,-22.176251551510134,-8.426423941525307,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
musique,weighted_kg_ppr,Weighted-KG-PPR only,phase1c_mlp_topk_4,source_only_baseline,em,EM,35.581299131154324,0.0,3,-22.176251551510134,,,,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
musique,weighted_kg_ppr,ColBERTv2 + Weighted-KG-PPR,controller_dense_hkvm,dense_plus_source_controller,all_recall@10,AR@10,49.648324369052546,1.0618329364181596,3,0.33098882912701555,32.726520479933804,-16.590815059991726,-14.466970073093364,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
musique,weighted_kg_ppr,Weighted-KG-PPR only,phase1c_mlp_topk_4,source_only_baseline,all_recall@10,AR@10,32.726520479933804,0.0,3,-16.590815059991726,,,,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
musique,weighted_kg_ppr,ColBERTv2 + Weighted-KG-PPR,controller_dense_hkvm,dense_plus_source_controller,all_recall@5,AR@5,27.954764860019306,0.15964469594249492,3,0.27582402427251296,14.067025237898221,-13.611915597848572,-15.790925389601437,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
musique,weighted_kg_ppr,Weighted-KG-PPR only,phase1c_mlp_topk_4,source_only_baseline,all_recall@5,AR@5,14.067025237898221,0.0,3,-13.611915597848572,,,,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
musique,weighted_hg_kv,ColBERTv2 + WHG-KV,controller_dense_hkvm,dense_plus_source_controller,f1,F1,65.07268965687213,0.377665834328344,3,6.763367664995194,56.75365088248034,-1.5556711093965916,0.0,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
musique,weighted_hg_kv,WHG-KV only,phase1c_mlp_topk_4,source_only_baseline,f1,F1,56.75365088248034,0.24927685895406687,3,-1.5556711093965916,,,,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
musique,weighted_hg_kv,ColBERTv2 + WHG-KV,controller_dense_hkvm,dense_plus_source_controller,em,EM,64.72210729554544,0.3450557441234803,3,6.964556612880983,56.21293614673838,-1.5446145359260797,0.0,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
musique,weighted_hg_kv,WHG-KV only,phase1c_mlp_topk_4,source_only_baseline,em,EM,56.21293614673838,0.25354814937043346,3,-1.5446145359260797,,,,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
musique,weighted_hg_kv,ColBERTv2 + WHG-KV,controller_dense_hkvm,dense_plus_source_controller,all_recall@10,AR@10,64.11529444214591,0.30277890498000665,3,14.79795890222038,53.30299269066336,3.985657150737829,0.0,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
musique,weighted_hg_kv,WHG-KV only,phase1c_mlp_topk_4,source_only_baseline,all_recall@10,AR@10,53.30299269066336,0.29125240769470173,3,3.985657150737829,,,,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
musique,weighted_hg_kv,ColBERTv2 + WHG-KV,controller_dense_hkvm,dense_plus_source_controller,all_recall@5,AR@5,43.74569024962074,0.4793310494271892,3,16.06674941387395,35.59509033236795,7.916149496621159,0.0,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
musique,weighted_hg_kv,WHG-KV only,phase1c_mlp_topk_4,source_only_baseline,all_recall@5,AR@5,35.59509033236795,0.019503703797726098,3,7.916149496621159,,,,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
2wiki,hyper_rag,ColBERTv2 + Hyper-RAG / co-occurrence-HG,controller_dense_hkvm,dense_plus_source_controller,f1,F1,77.34324680639938,0.5233255125895777,3,-0.4193512884233712,70.66540003324354,-7.097198061579206,-11.502898680254177,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
2wiki,hyper_rag,Hyper-RAG / co-occurrence-HG only,phase1c_mlp_topk_4,source_only_baseline,f1,F1,70.66540003324354,0.0,3,-7.097198061579206,,,,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
2wiki,hyper_rag,ColBERTv2 + Hyper-RAG / co-occurrence-HG,controller_dense_hkvm,dense_plus_source_controller,em,EM,76.75466497031383,0.5260659978818991,3,-0.43999151823578586,70.06997455470739,-7.124681933842226,-11.903625954198475,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
2wiki,hyper_rag,Hyper-RAG / co-occurrence-HG only,phase1c_mlp_topk_4,source_only_baseline,em,EM,70.06997455470739,0.0,3,-7.124681933842226,,,,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
2wiki,hyper_rag,ColBERTv2 + Hyper-RAG / co-occurrence-HG,controller_dense_hkvm,dense_plus_source_controller,all_recall@10,AR@10,100.0,0.0,3,0.0,99.6501272264631,-0.3498727735369016,0.0,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
2wiki,hyper_rag,Hyper-RAG / co-occurrence-HG only,phase1c_mlp_topk_4,source_only_baseline,all_recall@10,AR@10,99.6501272264631,0.0,3,-0.3498727735369016,,,,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
2wiki,hyper_rag,ColBERTv2 + Hyper-RAG / co-occurrence-HG,controller_dense_hkvm,dense_plus_source_controller,all_recall@5,AR@5,63.40648854961832,0.8611559232554357,3,-0.7076972010178224,56.774809160305345,-7.339376590330794,-29.892917726887205,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
2wiki,hyper_rag,Hyper-RAG / co-occurrence-HG only,phase1c_mlp_topk_4,source_only_baseline,all_recall@5,AR@5,56.774809160305345,0.0,3,-7.339376590330794,,,,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
2wiki,static_hg,ColBERTv2 + Static-HG,controller_dense_hkvm,dense_plus_source_controller,f1,F1,80.15280670652788,0.3075490957476179,3,2.390208611705134,78.09801350168857,0.3354154068658204,-8.693338780125671,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
2wiki,static_hg,Static-HG only,phase1c_mlp_topk_4,source_only_baseline,f1,F1,78.09801350168857,0.0,3,0.3354154068658204,,,,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
2wiki,static_hg,ColBERTv2 + Static-HG,controller_dense_hkvm,dense_plus_source_controller,em,EM,79.65701865988126,0.3117300769293742,3,2.462362171331648,77.52862595419847,0.3339694656488632,-9.00127226463104,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
2wiki,static_hg,Static-HG only,phase1c_mlp_topk_4,source_only_baseline,em,EM,77.52862595419847,0.0,3,0.3339694656488632,,,,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
2wiki,static_hg,ColBERTv2 + Static-HG,controller_dense_hkvm,dense_plus_source_controller,all_recall@10,AR@10,100.0,0.0,3,0.0,99.6501272264631,-0.3498727735369016,0.0,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
2wiki,static_hg,Static-HG only,phase1c_mlp_topk_4,source_only_baseline,all_recall@10,AR@10,99.6501272264631,0.0,3,-0.3498727735369016,,,,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
2wiki,static_hg,ColBERTv2 + Static-HG,controller_dense_hkvm,dense_plus_source_controller,all_recall@5,AR@5,69.399385072095,0.8468749955161752,3,5.285199321458862,70.18924936386769,6.075063613231549,-23.90002120441052,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
2wiki,static_hg,Static-HG only,phase1c_mlp_topk_4,source_only_baseline,all_recall@5,AR@5,70.18924936386769,0.0,3,6.075063613231549,,,,results/source_level_diagnostics/phase1d_source_level_ablation_20260528/paper_export/phase1d_source_level_ablation_table.csv,,
