dataset,source,source_label,variant,row_type,metric,metric_label,mean,std,seeds,delta_vs_dense,delta_vs_colbertv2,source_only_mean,source_only_delta_vs_dense,source_only_delta_vs_colbertv2,delta_vs_whg_kv_controller,source_path_before_reorg
2wiki,static_hg,Contriever + Static-HG,controller_dense_hkvm,dense_plus_source_controller,all_recall@5,AR@5,72.10824851569126,0.7398409964539829,3,25.71034775233248,25.71034775233248,70.18924936386769,23.79134860050891,23.79134860050891,-20.828032230703997,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
2wiki,static_hg,Static-HG only,phase1c_mlp_topk_4,source_only_baseline,all_recall@5,AR@5,70.18924936386769,0.0,3,23.79134860050891,23.79134860050891,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
2wiki,weighted_kg_ppr,Contriever + Weighted-KG-PPR,controller_dense_hkvm,dense_plus_source_controller,f1,F1,78.7235964129627,0.0861140113334355,3,13.225238810946436,13.225238810946436,75.89402027596628,10.395662673950014,10.395662673950014,-9.894229718463095,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
2wiki,weighted_kg_ppr,Weighted-KG-PPR only,phase1c_mlp_topk_4,source_only_baseline,f1,F1,75.89402027596628,0.0,3,10.395662673950014,10.395662673950014,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
2wiki,weighted_kg_ppr,Contriever + Weighted-KG-PPR,controller_dense_hkvm,dense_plus_source_controller,em,EM,78.27343087362172,0.06819699072449029,3,13.562871077184056,13.562871077184056,75.37372773536896,10.663167938931295,10.663167938931295,-10.138358778625943,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
2wiki,weighted_kg_ppr,Weighted-KG-PPR only,phase1c_mlp_topk_4,source_only_baseline,em,EM,75.37372773536896,0.0,3,10.663167938931295,10.663167938931295,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
2wiki,weighted_kg_ppr,Contriever + Weighted-KG-PPR,controller_dense_hkvm,dense_plus_source_controller,all_recall@10,AR@10,100.0,0.0,3,0.0,0.0,98.10750636132316,-1.8924936386768394,-1.8924936386768394,0.0,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
2wiki,weighted_kg_ppr,Weighted-KG-PPR only,phase1c_mlp_topk_4,source_only_baseline,all_recall@10,AR@10,98.10750636132316,0.0,3,-1.8924936386768394,-1.8924936386768394,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
2wiki,weighted_kg_ppr,Contriever + Weighted-KG-PPR,controller_dense_hkvm,dense_plus_source_controller,all_recall@5,AR@5,69.3198685326548,0.5499239284740518,3,22.921967769296018,22.921967769296018,66.14980916030534,19.75190839694656,19.75190839694656,-23.61641221374046,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
2wiki,weighted_kg_ppr,Weighted-KG-PPR only,phase1c_mlp_topk_4,source_only_baseline,all_recall@5,AR@5,66.14980916030534,0.0,3,19.75190839694656,19.75190839694656,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
2wiki,weighted_hg_kv,Contriever + WHG-KV,controller_dense_hkvm,dense_plus_source_controller,f1,F1,88.6178261314258,0.09141185873043928,3,23.11946852940953,23.11946852940953,88.39122632467331,22.89286872265704,22.89286872265704,0.0,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
2wiki,weighted_hg_kv,WHG-KV only,phase1c_mlp_topk_4,source_only_baseline,f1,F1,88.39122632467331,0.09932670237050562,3,22.89286872265704,22.89286872265704,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
2wiki,weighted_hg_kv,Contriever + WHG-KV,controller_dense_hkvm,dense_plus_source_controller,em,EM,88.41178965224766,0.10394758031768463,3,23.70122985581,23.70122985581,88.18119168787108,23.470631891433413,23.470631891433413,0.0,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
2wiki,weighted_hg_kv,WHG-KV only,phase1c_mlp_topk_4,source_only_baseline,em,EM,88.18119168787108,0.10495647727535314,3,23.470631891433413,23.470631891433413,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
2wiki,weighted_hg_kv,Contriever + WHG-KV,controller_dense_hkvm,dense_plus_source_controller,all_recall@10,AR@10,100.0,0.0,3,0.0,0.0,99.02989821882952,-0.9701017811704844,-0.9701017811704844,0.0,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
2wiki,weighted_hg_kv,WHG-KV only,phase1c_mlp_topk_4,source_only_baseline,all_recall@10,AR@10,99.02989821882952,0.07022710612538151,3,-0.9701017811704844,-0.9701017811704844,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
2wiki,weighted_hg_kv,Contriever + WHG-KV,controller_dense_hkvm,dense_plus_source_controller,all_recall@5,AR@5,92.93628074639525,0.1585463997957833,3,46.53837998303648,46.53837998303648,92.5307463952502,46.13284563189143,46.13284563189143,0.0,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
2wiki,weighted_hg_kv,WHG-KV only,phase1c_mlp_topk_4,source_only_baseline,all_recall@5,AR@5,92.5307463952502,0.1371644299505449,3,46.13284563189143,46.13284563189143,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_20260529/paper_export/phase1d_contriever_source_level_ablation_table.csv
hotpotqa,contriever_only,Contriever only,contriever,dense_baseline,f1,F1,79.93030391338371,0.0,3,0.0,0.0,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_hotpotqa10k_20260602/paper_export/phase1d_hotpot_contriever_source_level_ablation_table.csv
hotpotqa,contriever_only,Contriever only,contriever,dense_baseline,em,EM,79.72991222147198,0.0,3,0.0,0.0,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_hotpotqa10k_20260602/paper_export/phase1d_hotpot_contriever_source_level_ablation_table.csv
hotpotqa,contriever_only,Contriever only,contriever,dense_baseline,all_recall@10,AR@10,100.0,0.0,3,0.0,0.0,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_hotpotqa10k_20260602/paper_export/phase1d_hotpot_contriever_source_level_ablation_table.csv
hotpotqa,contriever_only,Contriever only,contriever,dense_baseline,all_recall@5,AR@5,71.3301823092505,0.0,3,0.0,0.0,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_hotpotqa10k_20260602/paper_export/phase1d_hotpot_contriever_source_level_ablation_table.csv
hotpotqa,hyper_rag,Contriever + Hyper-RAG / co-occurrence-HG,controller_dense_hkvm,dense_plus_source_controller,f1,F1,78.854912526597,0.3323563087694814,3,-1.0753913867867055,-1.0753913867867055,71.07412325706801,-8.8561806563157,-8.8561806563157,-6.241144773181105,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_hotpotqa10k_20260602/paper_export/phase1d_hotpot_contriever_source_level_ablation_table.csv
hotpotqa,hyper_rag,Hyper-RAG / co-occurrence-HG only,phase1c_mlp_topk_4,source_only_baseline,f1,F1,71.07412325706801,0.0,3,-8.8561806563157,-8.8561806563157,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_hotpotqa10k_20260602/paper_export/phase1d_hotpot_contriever_source_level_ablation_table.csv
hotpotqa,hyper_rag,Contriever + Hyper-RAG / co-occurrence-HG,controller_dense_hkvm,dense_plus_source_controller,em,EM,78.63155525545803,0.3355930464931947,3,-1.0983569660139523,-1.0983569660139523,70.72248480756245,-9.007427413909525,-9.007427413909525,-6.288543776727437,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_hotpotqa10k_20260602/paper_export/phase1d_hotpot_contriever_source_level_ablation_table.csv
hotpotqa,hyper_rag,Hyper-RAG / co-occurrence-HG only,phase1c_mlp_topk_4,source_only_baseline,em,EM,70.72248480756245,0.0,3,-9.007427413909525,-9.007427413909525,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_hotpotqa10k_20260602/paper_export/phase1d_hotpot_contriever_source_level_ablation_table.csv
hotpotqa,hyper_rag,Contriever + Hyper-RAG / co-occurrence-HG,controller_dense_hkvm,dense_plus_source_controller,all_recall@10,AR@10,100.0,0.0,3,0.0,0.0,98.20391627278866,-1.7960837272113395,-1.7960837272113395,0.0,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_hotpotqa10k_20260602/paper_export/phase1d_hotpot_contriever_source_level_ablation_table.csv
hotpotqa,hyper_rag,Hyper-RAG / co-occurrence-HG only,phase1c_mlp_topk_4,source_only_baseline,all_recall@10,AR@10,98.20391627278866,0.0,3,-1.7960837272113395,-1.7960837272113395,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_hotpotqa10k_20260602/paper_export/phase1d_hotpot_contriever_source_level_ablation_table.csv
hotpotqa,hyper_rag,Contriever + Hyper-RAG / co-occurrence-HG,controller_dense_hkvm,dense_plus_source_controller,all_recall@5,AR@5,70.63245554805312,0.7835908017573323,3,-0.6977267611973872,-0.6977267611973872,57.704253882511814,-13.625928426738689,-13.625928426738689,-9.24600495160928,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_hotpotqa10k_20260602/paper_export/phase1d_hotpot_contriever_source_level_ablation_table.csv
hotpotqa,hyper_rag,Hyper-RAG / co-occurrence-HG only,phase1c_mlp_topk_4,source_only_baseline,all_recall@5,AR@5,57.704253882511814,0.0,3,-13.625928426738689,-13.625928426738689,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_hotpotqa10k_20260602/paper_export/phase1d_hotpot_contriever_source_level_ablation_table.csv
hotpotqa,static_hg,Contriever + Static-HG,controller_dense_hkvm,dense_plus_source_controller,f1,F1,79.12775674689327,0.5065531536014,3,-0.8025471664904416,-0.8025471664904416,73.33969964182063,-6.59060427156308,-6.59060427156308,-5.968300552884841,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_hotpotqa10k_20260602/paper_export/phase1d_hotpot_contriever_source_level_ablation_table.csv
hotpotqa,static_hg,Static-HG only,phase1c_mlp_topk_4,source_only_baseline,f1,F1,73.33969964182063,0.0,3,-6.59060427156308,-6.59060427156308,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_hotpotqa10k_20260602/paper_export/phase1d_hotpot_contriever_source_level_ablation_table.csv
hotpotqa,static_hg,Contriever + Static-HG,controller_dense_hkvm,dense_plus_source_controller,em,EM,78.90614449696152,0.5129298053835389,3,-0.8237677245104607,-0.8237677245104607,73.01823092505064,-6.711681296421332,-6.711681296421332,-6.013954535223945,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_hotpotqa10k_20260602/paper_export/phase1d_hotpot_contriever_source_level_ablation_table.csv
hotpotqa,static_hg,Static-HG only,phase1c_mlp_topk_4,source_only_baseline,em,EM,73.01823092505064,0.0,3,-6.711681296421332,-6.711681296421332,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_hotpotqa10k_20260602/paper_export/phase1d_hotpot_contriever_source_level_ablation_table.csv
hotpotqa,static_hg,Contriever + Static-HG,controller_dense_hkvm,dense_plus_source_controller,all_recall@10,AR@10,100.0,0.0,3,0.0,0.0,98.19041188386225,-1.8095881161377463,-1.8095881161377463,0.0,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_hotpotqa10k_20260602/paper_export/phase1d_hotpot_contriever_source_level_ablation_table.csv
hotpotqa,static_hg,Static-HG only,phase1c_mlp_topk_4,source_only_baseline,all_recall@10,AR@10,98.19041188386225,0.0,3,-1.8095881161377463,-1.8095881161377463,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_hotpotqa10k_20260602/paper_export/phase1d_hotpot_contriever_source_level_ablation_table.csv
hotpotqa,static_hg,Contriever + Static-HG,controller_dense_hkvm,dense_plus_source_controller,all_recall@5,AR@5,70.97906819716408,0.9317702160537877,3,-0.35111411208642096,-0.35111411208642096,60.17555705604322,-11.154625253207286,-11.154625253207286,-8.899392302498313,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_hotpotqa10k_20260602/paper_export/phase1d_hotpot_contriever_source_level_ablation_table.csv
hotpotqa,static_hg,Static-HG only,phase1c_mlp_topk_4,source_only_baseline,all_recall@5,AR@5,60.17555705604322,0.0,3,-11.154625253207286,-11.154625253207286,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_hotpotqa10k_20260602/paper_export/phase1d_hotpot_contriever_source_level_ablation_table.csv
hotpotqa,weighted_kg_ppr,Contriever + Weighted-KG-PPR,controller_dense_hkvm,dense_plus_source_controller,f1,F1,79.57391821011394,0.28177771674895336,3,-0.3563857032697655,-0.3563857032697655,73.69539605923919,-6.234907854144524,-6.234907854144524,-5.522139089664165,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_hotpotqa10k_20260602/paper_export/phase1d_hotpot_contriever_source_level_ablation_table.csv
hotpotqa,weighted_kg_ppr,Weighted-KG-PPR only,phase1c_mlp_topk_4,source_only_baseline,f1,F1,73.69539605923919,0.0,3,-6.234907854144524,-6.234907854144524,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_hotpotqa10k_20260602/paper_export/phase1d_hotpot_contriever_source_level_ablation_table.csv
hotpotqa,weighted_kg_ppr,Contriever + Weighted-KG-PPR,controller_dense_hkvm,dense_plus_source_controller,em,EM,79.36079225748368,0.29593481726569915,3,-0.3691199639882967,-0.3691199639882967,73.36934503713707,-6.360567184334911,-6.360567184334911,-5.559306774701781,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_hotpotqa10k_20260602/paper_export/phase1d_hotpot_contriever_source_level_ablation_table.csv
hotpotqa,weighted_kg_ppr,Weighted-KG-PPR only,phase1c_mlp_topk_4,source_only_baseline,em,EM,73.36934503713707,0.0,3,-6.360567184334911,-6.360567184334911,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_hotpotqa10k_20260602/paper_export/phase1d_hotpot_contriever_source_level_ablation_table.csv
hotpotqa,weighted_kg_ppr,Contriever + Weighted-KG-PPR,controller_dense_hkvm,dense_plus_source_controller,all_recall@10,AR@10,100.0,0.0,3,0.0,0.0,95.38149898717083,-4.618501012829171,-4.618501012829171,0.0,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_hotpotqa10k_20260602/paper_export/phase1d_hotpot_contriever_source_level_ablation_table.csv
hotpotqa,weighted_kg_ppr,Weighted-KG-PPR only,phase1c_mlp_topk_4,source_only_baseline,all_recall@10,AR@10,95.38149898717083,0.0,3,-4.618501012829171,-4.618501012829171,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_hotpotqa10k_20260602/paper_export/phase1d_hotpot_contriever_source_level_ablation_table.csv
hotpotqa,weighted_kg_ppr,Contriever + Weighted-KG-PPR,controller_dense_hkvm,dense_plus_source_controller,all_recall@5,AR@5,72.3835246455098,0.5147044496150641,3,1.0533423362592913,1.0533423362592913,61.350438892640106,-9.979743416610397,-9.979743416610397,-7.494935854152601,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_hotpotqa10k_20260602/paper_export/phase1d_hotpot_contriever_source_level_ablation_table.csv
hotpotqa,weighted_kg_ppr,Weighted-KG-PPR only,phase1c_mlp_topk_4,source_only_baseline,all_recall@5,AR@5,61.350438892640106,0.0,3,-9.979743416610397,-9.979743416610397,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_hotpotqa10k_20260602/paper_export/phase1d_hotpot_contriever_source_level_ablation_table.csv
hotpotqa,weighted_hg_kv,Contriever + WHG-KV,controller_dense_hkvm,dense_plus_source_controller,f1,F1,85.09605729977811,0.16145350372991835,3,5.1657533863944,5.1657533863944,82.92909204350202,2.9987881301183137,2.9987881301183137,0.0,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_hotpotqa10k_20260602/paper_export/phase1d_hotpot_contriever_source_level_ablation_table.csv
hotpotqa,weighted_hg_kv,WHG-KV only,phase1c_mlp_topk_4,source_only_baseline,f1,F1,82.92909204350202,0.09222155096665813,3,2.9987881301183137,2.9987881301183137,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_hotpotqa10k_20260602/paper_export/phase1d_hotpot_contriever_source_level_ablation_table.csv
hotpotqa,weighted_hg_kv,Contriever + WHG-KV,controller_dense_hkvm,dense_plus_source_controller,em,EM,84.92009903218546,0.1712923483271707,3,5.1901868107134845,5.1901868107134845,82.70537924825568,2.9754670267837042,2.9754670267837042,0.0,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_hotpotqa10k_20260602/paper_export/phase1d_hotpot_contriever_source_level_ablation_table.csv
hotpotqa,weighted_hg_kv,WHG-KV only,phase1c_mlp_topk_4,source_only_baseline,em,EM,82.70537924825568,0.08912441986596388,3,2.9754670267837042,2.9754670267837042,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_hotpotqa10k_20260602/paper_export/phase1d_hotpot_contriever_source_level_ablation_table.csv
hotpotqa,weighted_hg_kv,Contriever + WHG-KV,controller_dense_hkvm,dense_plus_source_controller,all_recall@10,AR@10,100.0,0.0,3,0.0,0.0,96.43934278640558,-3.5606572135944248,-3.5606572135944248,0.0,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_hotpotqa10k_20260602/paper_export/phase1d_hotpot_contriever_source_level_ablation_table.csv
hotpotqa,weighted_hg_kv,WHG-KV only,phase1c_mlp_topk_4,source_only_baseline,all_recall@10,AR@10,96.43934278640558,0.02774888139981483,3,-3.5606572135944248,-3.5606572135944248,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_hotpotqa10k_20260602/paper_export/phase1d_hotpot_contriever_source_level_ablation_table.csv
hotpotqa,weighted_hg_kv,Contriever + WHG-KV,controller_dense_hkvm,dense_plus_source_controller,all_recall@5,AR@5,79.8784604996624,0.22624050187943706,3,8.548278190411892,8.548278190411892,74.09858203916272,2.7683997299122183,2.7683997299122183,0.0,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_hotpotqa10k_20260602/paper_export/phase1d_hotpot_contriever_source_level_ablation_table.csv
hotpotqa,weighted_hg_kv,WHG-KV only,phase1c_mlp_topk_4,source_only_baseline,all_recall@5,AR@5,74.09858203916272,0.0902540520178441,3,2.7683997299122183,2.7683997299122183,,,,,results/source_level_diagnostics/phase1d_contriever_source_level_ablation_hotpotqa10k_20260602/paper_export/phase1d_hotpot_contriever_source_level_ablation_table.csv
