seed,variant,metric,value
13,colbertv2,all_recall@10,49.31733553992553
13,colbertv2,all_recall@5,27.678940835746793
13,colbertv2,answer_support_rate,57.75755068266446
13,colbertv2,avg_retrieval_tokens,460.13032685146874
13,colbertv2,em,57.75755068266446
13,colbertv2,f1,58.309321991876935
13,colbertv2,gold_rank,1.68349193214729
13,colbertv2,latency_seconds,0.0
13,colbertv2,mrr,0.8127161442428302
13,colbertv2,recall@10,76.54461453592609
13,colbertv2,recall@5,60.36408771203972
13,phase1c_mlp_topk_4,all_recall@10,52.91683905668184
13,phase1c_mlp_topk_4,all_recall@5,35.581299131154324
13,phase1c_mlp_topk_4,answer_support_rate,55.89573851882499
13,phase1c_mlp_topk_4,avg_retrieval_tokens,470.25113777410013
13,phase1c_mlp_topk_4,em,55.89573851882499
13,phase1c_mlp_topk_4,f1,56.438640650217316
13,phase1c_mlp_topk_4,gold_rank,1.6545304095986761
13,phase1c_mlp_topk_4,latency_seconds,0.0
13,phase1c_mlp_topk_4,mrr,0.8023903106960616
13,phase1c_mlp_topk_4,recall@10,77.5203420217901
13,phase1c_mlp_topk_4,recall@5,65.83574679354572
13,rrf_dense_hkvm,all_recall@10,63.01199834505586
13,rrf_dense_hkvm,all_recall@5,32.685146876292926
13,rrf_dense_hkvm,answer_support_rate,57.75755068266446
13,rrf_dense_hkvm,avg_retrieval_tokens,463.0757136946628
13,rrf_dense_hkvm,em,57.75755068266446
13,rrf_dense_hkvm,f1,58.30191077616115
13,rrf_dense_hkvm,gold_rank,1.658254033926355
13,rrf_dense_hkvm,latency_seconds,0.0
13,rrf_dense_hkvm,mrr,0.8267459004012583
13,rrf_dense_hkvm,recall@10,84.04358019583506
13,rrf_dense_hkvm,recall@5,63.47400358571232
13,rrf_dense_hkvm_bm25,all_recall@10,63.01199834505586
13,rrf_dense_hkvm_bm25,all_recall@5,32.685146876292926
13,rrf_dense_hkvm_bm25,answer_support_rate,57.75755068266446
13,rrf_dense_hkvm_bm25,avg_retrieval_tokens,463.0757136946628
13,rrf_dense_hkvm_bm25,em,57.75755068266446
13,rrf_dense_hkvm_bm25,f1,58.30191077616115
13,rrf_dense_hkvm_bm25,gold_rank,1.658254033926355
13,rrf_dense_hkvm_bm25,latency_seconds,0.0
13,rrf_dense_hkvm_bm25,mrr,0.8267459004012583
13,rrf_dense_hkvm_bm25,recall@10,84.04358019583506
13,rrf_dense_hkvm_bm25,recall@5,63.47400358571232
13,quota_dense4_hkvm1,all_recall@10,51.220521307405875
13,quota_dense4_hkvm1,all_recall@5,29.62350020686802
13,quota_dense4_hkvm1,answer_support_rate,57.96441870086885
13,quota_dense4_hkvm1,avg_retrieval_tokens,458.34629706247415
13,quota_dense4_hkvm1,em,57.96441870086885
13,quota_dense4_hkvm1,f1,58.45831024905716
13,quota_dense4_hkvm1,gold_rank,1.6508067852709971
13,quota_dense4_hkvm1,latency_seconds,0.0
13,quota_dense4_hkvm1,mrr,0.8141162795279469
13,quota_dense4_hkvm1,recall@10,78.09267687215556
13,quota_dense4_hkvm1,recall@5,63.7325886084678
13,quota_dense3_hkvm2,all_recall@10,51.882498965659906
13,quota_dense3_hkvm2,all_recall@5,30.61646669424907
13,quota_dense3_hkvm2,answer_support_rate,58.709143566404634
13,quota_dense3_hkvm2,avg_retrieval_tokens,459.707488622259
13,quota_dense3_hkvm2,em,58.709143566404634
13,quota_dense3_hkvm2,f1,59.1951035242299
13,quota_dense3_hkvm2,gold_rank,1.6193628465039305
13,quota_dense3_hkvm2,latency_seconds,0.0
13,quota_dense3_hkvm2,mrr,0.8156009680109805
13,quota_dense3_hkvm2,recall@10,78.45124810370983
13,quota_dense3_hkvm2,recall@5,64.40146186732865
13,controller_dense_only,all_recall@10,52.04799338022342
13,controller_dense_only,all_recall@5,27.347952006619778
13,controller_dense_only,answer_support_rate,57.550682664460076
13,controller_dense_only,avg_retrieval_tokens,461.59660736450144
13,controller_dense_only,em,57.550682664460076
13,controller_dense_only,f1,58.019016368878866
13,controller_dense_only,gold_rank,1.6830781961108812
13,controller_dense_only,latency_seconds,0.0
13,controller_dense_only,mrr,0.8126553972851035
13,controller_dense_only,recall@10,78.19955868156117
13,controller_dense_only,recall@5,60.16411529444215
13,controller_hkvm_only,all_recall@10,58.254033926354985
13,controller_hkvm_only,all_recall@5,35.581299131154324
13,controller_hkvm_only,answer_support_rate,55.89573851882499
13,controller_hkvm_only,avg_retrieval_tokens,470.25113777410013
13,controller_hkvm_only,em,55.89573851882499
13,controller_hkvm_only,f1,56.438640650217316
13,controller_hkvm_only,gold_rank,1.7807199007033512
13,controller_hkvm_only,latency_seconds,0.0
13,controller_hkvm_only,mrr,0.8041818534060984
13,controller_hkvm_only,recall@10,81.63011998345056
13,controller_hkvm_only,recall@5,65.83574679354572
13,controller_dense_hkvm,all_recall@10,63.88084402151427
13,controller_dense_hkvm,all_recall@5,43.85601985932975
13,controller_dense_hkvm,answer_support_rate,65.20479933802234
13,controller_dense_hkvm,avg_retrieval_tokens,470.5614398014067
13,controller_dense_hkvm,em,65.20479933802234
13,controller_dense_hkvm,f1,65.59814371161626
13,controller_dense_hkvm,gold_rank,1.4832436905254447
13,controller_dense_hkvm,latency_seconds,0.0
13,controller_dense_hkvm,mrr,0.853574876371732
13,controller_dense_hkvm,recall@10,84.45042063163702
13,controller_dense_hkvm,recall@5,72.22107295545442
29,colbertv2,all_recall@10,49.31733553992553
29,colbertv2,all_recall@5,27.678940835746793
29,colbertv2,answer_support_rate,57.75755068266446
29,colbertv2,avg_retrieval_tokens,460.13032685146874
29,colbertv2,em,57.75755068266446
29,colbertv2,f1,58.309321991876935
29,colbertv2,gold_rank,1.68349193214729
29,colbertv2,latency_seconds,0.0
29,colbertv2,mrr,0.8127161442428302
29,colbertv2,recall@10,76.54461453592609
29,colbertv2,recall@5,60.36408771203972
29,phase1c_mlp_topk_4,all_recall@10,53.620190318576746
29,phase1c_mlp_topk_4,all_recall@5,35.6226727347952
29,phase1c_mlp_topk_4,answer_support_rate,56.22672734795201
29,phase1c_mlp_topk_4,avg_retrieval_tokens,466.13487794786926
29,phase1c_mlp_topk_4,em,56.22672734795201
29,phase1c_mlp_topk_4,f1,56.77409818675057
29,phase1c_mlp_topk_4,gold_rank,1.6698386429458005
29,phase1c_mlp_topk_4,latency_seconds,0.0
29,phase1c_mlp_topk_4,mrr,0.8026452837375468
29,phase1c_mlp_topk_4,recall@10,77.88925665425458
29,phase1c_mlp_topk_4,recall@5,65.7150737829265
29,rrf_dense_hkvm,all_recall@10,63.094745552337606
29,rrf_dense_hkvm,all_recall@5,33.30575093090608
29,rrf_dense_hkvm,answer_support_rate,58.0471659081506
29,rrf_dense_hkvm,avg_retrieval_tokens,462.0215142738933
29,rrf_dense_hkvm,em,58.0471659081506
29,rrf_dense_hkvm,f1,58.54077502412759
29,rrf_dense_hkvm,gold_rank,1.6549441456350849
29,rrf_dense_hkvm,latency_seconds,0.0
29,rrf_dense_hkvm,mrr,0.8290624938432137
29,rrf_dense_hkvm,recall@10,84.06081919735209
29,rrf_dense_hkvm,recall@5,63.622258998758795
29,rrf_dense_hkvm_bm25,all_recall@10,63.094745552337606
29,rrf_dense_hkvm_bm25,all_recall@5,33.30575093090608
29,rrf_dense_hkvm_bm25,answer_support_rate,58.0471659081506
29,rrf_dense_hkvm_bm25,avg_retrieval_tokens,462.0215142738933
29,rrf_dense_hkvm_bm25,em,58.0471659081506
29,rrf_dense_hkvm_bm25,f1,58.54077502412759
29,rrf_dense_hkvm_bm25,gold_rank,1.6549441456350849
29,rrf_dense_hkvm_bm25,latency_seconds,0.0
29,rrf_dense_hkvm_bm25,mrr,0.8290624938432137
29,rrf_dense_hkvm_bm25,recall@10,84.06081919735209
29,rrf_dense_hkvm_bm25,recall@5,63.622258998758795
29,quota_dense4_hkvm1,all_recall@10,51.34464211832851
29,quota_dense4_hkvm1,all_recall@5,29.74762101779065
29,quota_dense4_hkvm1,answer_support_rate,58.088539511791474
29,quota_dense4_hkvm1,avg_retrieval_tokens,458.49400082747206
29,quota_dense4_hkvm1,em,58.088539511791474
29,quota_dense4_hkvm1,f1,58.57575321518162
29,quota_dense4_hkvm1,gold_rank,1.6495655771617708
29,quota_dense4_hkvm1,latency_seconds,0.0
29,quota_dense4_hkvm1,mrr,0.8140115320711101
29,quota_dense4_hkvm1,recall@10,78.08922907185216
29,quota_dense4_hkvm1,recall@5,63.68776720452352
29,quota_dense3_hkvm2,all_recall@10,52.00661977658254
29,quota_dense3_hkvm2,all_recall@5,30.7405875051717
29,quota_dense3_hkvm2,answer_support_rate,58.66776996276376
29,quota_dense3_hkvm2,avg_retrieval_tokens,460.0132395531651
29,quota_dense3_hkvm2,em,58.66776996276376
29,quota_dense3_hkvm2,f1,59.14959256022494
29,quota_dense3_hkvm2,gold_rank,1.6235002068680182
29,quota_dense3_hkvm2,latency_seconds,0.0
29,quota_dense3_hkvm2,mrr,0.8154848920674324
29,quota_dense3_hkvm2,recall@10,78.47883050613709
29,quota_dense3_hkvm2,recall@5,64.34284926217073
29,controller_dense_only,all_recall@10,52.04799338022342
29,controller_dense_only,all_recall@5,27.43069921390153
29,controller_dense_only,answer_support_rate,57.88167149358709
29,controller_dense_only,avg_retrieval_tokens,460.9565577161771
29,controller_dense_only,em,57.88167149358709
29,controller_dense_only,f1,58.37218631001639
29,controller_dense_only,gold_rank,1.6669424906909391
29,controller_dense_only,latency_seconds,0.0
29,controller_dense_only,mrr,0.8120246140105469
29,controller_dense_only,recall@10,78.15128947731347
29,controller_dense_only,recall@5,60.18824989656599
29,controller_hkvm_only,all_recall@10,59.41249482829954
29,controller_hkvm_only,all_recall@5,35.49855192387257
29,controller_hkvm_only,answer_support_rate,56.22672734795201
29,controller_hkvm_only,avg_retrieval_tokens,466.21886636326025
29,controller_hkvm_only,em,56.22672734795201
29,controller_hkvm_only,f1,56.793441689751496
29,controller_hkvm_only,gold_rank,1.772445179975176
29,controller_hkvm_only,latency_seconds,0.0
29,controller_hkvm_only,mrr,0.8044639163071103
29,controller_hkvm_only,recall@10,82.03351261894912
29,controller_hkvm_only,recall@5,65.68059577989243
29,controller_dense_hkvm,all_recall@10,64.54282167976831
29,controller_dense_hkvm,all_recall@5,43.11129499379396
29,controller_dense_hkvm,answer_support_rate,64.41870086884568
29,controller_dense_hkvm,avg_retrieval_tokens,468.55895738518825
29,controller_dense_hkvm,em,64.41870086884568
29,controller_dense_hkvm,f1,64.72707263678019
29,controller_dense_hkvm,gold_rank,1.5175837815473727
29,controller_dense_hkvm,latency_seconds,0.0
29,controller_dense_hkvm,mrr,0.8327299682802372
29,controller_dense_hkvm,recall@10,84.71590125499931
29,controller_dense_hkvm,recall@5,71.6728727072128
43,colbertv2,all_recall@10,49.31733553992553
43,colbertv2,all_recall@5,27.678940835746793
43,colbertv2,answer_support_rate,57.75755068266446
43,colbertv2,avg_retrieval_tokens,460.13032685146874
43,colbertv2,em,57.75755068266446
43,colbertv2,f1,58.309321991876935
43,colbertv2,gold_rank,1.68349193214729
43,colbertv2,latency_seconds,0.0
43,colbertv2,mrr,0.8127161442428302
43,colbertv2,recall@10,76.54461453592609
43,colbertv2,recall@5,60.36408771203972
43,phase1c_mlp_topk_4,all_recall@10,53.37194869673149
43,phase1c_mlp_topk_4,all_recall@5,35.581299131154324
43,phase1c_mlp_topk_4,answer_support_rate,56.516342573438145
43,phase1c_mlp_topk_4,avg_retrieval_tokens,467.3061646669425
43,phase1c_mlp_topk_4,em,56.516342573438145
43,phase1c_mlp_topk_4,f1,57.04821381047314
43,phase1c_mlp_topk_4,gold_rank,1.647083160943318
43,phase1c_mlp_topk_4,latency_seconds,0.0
43,phase1c_mlp_topk_4,mrr,0.8050641619218367
43,phase1c_mlp_topk_4,recall@10,77.72376223969108
43,phase1c_mlp_topk_4,recall@5,65.91159840022065
43,rrf_dense_hkvm,all_recall@10,62.72238311956971
43,rrf_dense_hkvm,all_recall@5,33.26437732726521
43,rrf_dense_hkvm,answer_support_rate,57.92304509722797
43,rrf_dense_hkvm,avg_retrieval_tokens,462.9197352089367
43,rrf_dense_hkvm,em,57.92304509722797
43,rrf_dense_hkvm,f1,58.416503120790736
43,rrf_dense_hkvm,gold_rank,1.6623913942904427
43,rrf_dense_hkvm,latency_seconds,0.0
43,rrf_dense_hkvm,mrr,0.8279250481050233
43,rrf_dense_hkvm,recall@10,83.87119018066474
43,rrf_dense_hkvm,recall@5,63.54640739208385
43,rrf_dense_hkvm_bm25,all_recall@10,62.72238311956971
43,rrf_dense_hkvm_bm25,all_recall@5,33.26437732726521
43,rrf_dense_hkvm_bm25,answer_support_rate,57.92304509722797
43,rrf_dense_hkvm_bm25,avg_retrieval_tokens,462.9197352089367
43,rrf_dense_hkvm_bm25,em,57.92304509722797
43,rrf_dense_hkvm_bm25,f1,58.416503120790736
43,rrf_dense_hkvm_bm25,gold_rank,1.6623913942904427
43,rrf_dense_hkvm_bm25,latency_seconds,0.0
43,rrf_dense_hkvm_bm25,mrr,0.8279250481050233
43,rrf_dense_hkvm_bm25,recall@10,83.87119018066474
43,rrf_dense_hkvm_bm25,recall@5,63.54640739208385
43,quota_dense4_hkvm1,all_recall@10,51.34464211832851
43,quota_dense4_hkvm1,all_recall@5,29.70624741414977
43,quota_dense4_hkvm1,answer_support_rate,57.88167149358709
43,quota_dense4_hkvm1,avg_retrieval_tokens,458.19569714522135
43,quota_dense4_hkvm1,em,57.88167149358709
43,quota_dense4_hkvm1,f1,58.355335946662095
43,quota_dense4_hkvm1,gold_rank,1.6553578816714936
43,quota_dense4_hkvm1,latency_seconds,0.0
43,quota_dense4_hkvm1,mrr,0.8141413992158717
43,quota_dense4_hkvm1,recall@10,78.23748448489863
43,quota_dense4_hkvm1,recall@5,63.742932009378016
43,quota_dense3_hkvm2,all_recall@10,52.00661977658254
43,quota_dense3_hkvm2,all_recall@5,30.7405875051717
43,quota_dense3_hkvm2,answer_support_rate,58.54364915184112
43,quota_dense3_hkvm2,avg_retrieval_tokens,459.83698800165496
43,quota_dense3_hkvm2,em,58.54364915184112
43,quota_dense3_hkvm2,f1,59.01690448794233
43,quota_dense3_hkvm2,gold_rank,1.623913942904427
43,quota_dense3_hkvm2,latency_seconds,0.0
43,quota_dense3_hkvm2,mrr,0.8156354460140145
43,quota_dense3_hkvm2,recall@10,78.58571231554268
43,quota_dense3_hkvm2,recall@5,64.4324920700593
43,controller_dense_only,all_recall@10,52.42035581299131
43,controller_dense_only,all_recall@5,27.8444352503103
43,controller_dense_only,answer_support_rate,57.840297889946214
43,controller_dense_only,avg_retrieval_tokens,460.75382705833675
43,controller_dense_only,em,57.840297889946214
43,controller_dense_only,f1,58.350486637923666
43,controller_dense_only,gold_rank,1.6714935870914356
43,controller_dense_only,latency_seconds,0.0
43,controller_dense_only,mrr,0.8123746478318261
43,controller_dense_only,recall@10,78.21334988277479
43,controller_dense_only,recall@5,60.41235691628741
43,controller_hkvm_only,all_recall@10,58.254033926354985
43,controller_hkvm_only,all_recall@5,35.581299131154324
43,controller_hkvm_only,answer_support_rate,56.516342573438145
43,controller_hkvm_only,avg_retrieval_tokens,467.3061646669425
43,controller_hkvm_only,em,56.516342573438145
43,controller_hkvm_only,f1,57.04821381047314
43,controller_hkvm_only,gold_rank,1.7707902358295406
43,controller_hkvm_only,latency_seconds,0.0
43,controller_hkvm_only,mrr,0.8068855855678363
43,controller_hkvm_only,recall@10,81.62322438284374
43,controller_hkvm_only,recall@5,65.91159840022065
43,controller_dense_hkvm,all_recall@10,63.92221762515515
43,controller_dense_hkvm,all_recall@5,44.26975589573852
43,controller_dense_hkvm,answer_support_rate,64.54282167976831
43,controller_dense_hkvm,avg_retrieval_tokens,471.69714522134876
43,controller_dense_hkvm,em,64.54282167976831
43,controller_dense_hkvm,f1,64.89285262221993
43,controller_dense_hkvm,gold_rank,1.5581299131154323
43,controller_dense_hkvm,latency_seconds,0.0
43,controller_dense_hkvm,mrr,0.8287219825180107
43,controller_dense_hkvm,recall@10,84.36422562405185
43,controller_dense_hkvm,recall@5,72.45207557578266
